postid,antal
102,45
103,19
104,25
105,39
108,15
109,29
121,37
122,25
123,40
124,22
125,21
126,43
127,20
128,31
130,111
131,16
132,16
138,6
201,1
202,50
203,19
204,14
205,8
206,10
208,37
209,64
220,43
221,83
222,5
223,21
224,8
225,87
226,59
227,56
228,13
230,50
231,3
232,6
233,28
234,47
235,20
236,13
238,6
n01,35
n02,8
n03,37
n04,2
n05,41
n06,27
n07,27
n08,57
n09,18
n10,14
n11,33
n12,26
n13,33
n14,7
n15,35
n16,43
n17,37
n18,30
n20,1
n21,40
n23,10
n24,8
n25,10
n26,12
n27,5
n28,3
n29,12
n30,4
n31,3
n32,7
n33,1
n34,5
